Date,Daily Confirmed ,Cumulative Confirmed,Daily Discharged,Passed but not due to COVID,Cumulative Discharged,Discharged to Isolation,Still Hospitalised,Daily Deaths,Cumulative Deaths,Tested positive demise,Daily Imported,Daily Local transmission,Local cases residing in dorms MOH report,Local cases not residing in doms MOH report,Intensive Care Unit (ICU),General Wards MOH report,In Isolation MOH report,Total Completed Isolation MOH report,Total Hospital Discharged MOH report,
23-Jan,1,1,0,0,0,0,1,0,0,0,1,0,,,0,,,,,
24-Jan,2,3,0,0,0,0,3,0,0,0,2,0,,,0,,,,,
25-Jan,1,4,0,0,0,0,4,0,0,0,1,0,,,0,,,,,
26-Jan,0,4,0,0,0,0,4,0,0,0,0,0,,,0,,,,,
27-Jan,1,5,0,0,0,0,5,0,0,0,1,0,,,0,,,,,
28-Jan,2,7,0,0,0,0,7,0,0,0,2,0,,,0,,,,,
29-Jan,3,10,0,0,0,0,10,0,0,0,3,0,,,0,,,,,
30-Jan,3,13,0,0,0,0,13,0,0,0,3,0,,,0,,,,,
31-Jan,3,16,0,0,0,0,16,0,0,0,3,0,,,0,,,,,
1-Feb,2,18,0,0,0,0,18,0,0,0,2,0,,,0,,,,,
2-Feb,0,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,
3-Feb,0,18,0,0,0,0,18,0,0,0,0,0,,,0,,,,,
4-Feb,6,24,1,0,1,0,23,0,0,0,2,4,,,0,,,,,
5-Feb,4,28,0,0,1,0,27,0,0,0,1,3,,,0,,,,,
6-Feb,2,30,0,0,1,0,29,0,0,0,0,2,,,1,,,,,
7-Feb,3,33,1,0,2,0,31,0,0,0,0,3,,,2,,,,,
8-Feb,7,40,0,0,2,0,38,0,0,0,0,7,,,4,,,,,
9-Feb,3,43,4,0,6,0,37,0,0,0,0,3,,,6,,,,,
10-Feb,2,45,1,0,7,0,38,0,0,0,1,1,,,7,,,,,
11-Feb,2,47,2,0,9,0,38,0,0,0,0,2,,,7,,,,,
12-Feb,3,50,6,0,15,0,35,0,0,0,0,3,,,8,,,,,
13-Feb,8,58,0,0,15,0,43,0,0,0,0,8,,,7,,,,,
14-Feb,9,67,2,0,17,0,50,0,0,0,0,9,,,6,,,,,
15-Feb,5,72,1,0,18,0,54,0,0,0,0,5,,,6,,,,,
16-Feb,3,75,1,0,19,0,56,0,0,0,0,3,,,5,,,,,
17-Feb,2,77,5,0,24,0,53,0,0,0,1,1,,,4,,,,,
18-Feb,4,81,5,0,29,0,52,0,0,0,0,4,,,4,,,,,
19-Feb,3,84,5,0,34,0,50,0,0,0,0,3,,,4,,,,,
20-Feb,1,85,3,0,37,0,48,0,0,0,0,1,,,4,,,,,
21-Feb,1,86,10,0,47,0,39,0,0,0,0,1,,,5,,,,,
22-Feb,3,89,2,0,49,0,40,0,0,0,1,2,,,5,,,,,
23-Feb,0,89,2,0,51,0,38,0,0,0,0,0,,,5,,,,,
24-Feb,1,90,2,0,53,0,37,0,0,0,0,1,,,7,,,,,
25-Feb,1,91,5,0,58,0,33,0,0,0,0,1,,,7,,,,,
26-Feb,2,93,4,0,62,0,31,0,0,0,0,2,,,7,,,,,
27-Feb,3,96,4,0,66,0,30,0,0,0,0,3,,,8,,,,,
28-Feb,2,98,3,0,69,0,29,0,0,0,0,2,,,7,,,,,
29-Feb,4,102,3,0,72,0,30,0,0,0,0,4,,,7,,,,,
1-Mar,4,106,2,0,74,0,32,0,0,0,0,4,,,7,,,,,
2-Mar,2,108,4,0,78,0,30,0,0,0,0,2,,,6,,,,,
3-Mar,2,110,0,0,78,0,32,0,0,0,0,2,,,7,,,,,
4-Mar,2,112,1,0,79,0,33,0,0,0,0,2,,,7,,,,,
